uuid,Primary_Author,Title,Published,Page,DocType,Culture,Region,Subregion,Subsistence,OCM,IDs,Permalink,769 - Cult of the Dead,771 - General Character of Religion,772 - Cosmology,773 - Mythology,774 - Animism,775 - Eschatology,776 - Spirits and Gods,777 - Luck and Chance,778 - Sacred Objects and Places,779 - Theological Systems,787 - Revelation and Divination,match_flag
125e1357-e0ab-4bb9-87d1-3e430499376d,"Jochelson, Waldemar, 1855-1937",The Koryak,1905,145,Monograph,Koryaks,Asia,North Asia,primarily hunter-gatherers,,"539,773",https://ehrafworldcultures.yale.edu/sres/125e1357-e0ab-4bb9-87d1-3e430499376d,0,0,0,1,0,0,0,0,0,0,0,False
ee987d80-75b9-48ff-a8aa-147404381698,"Calame-Griaule, Genevi̬ve",Words and the Dogon world,1986,659,Monograph,Dogon,Africa,Western Africa,intensive agriculturalists,,"128,533,534,776",https://ehrafworldcultures.yale.edu/sres/ee987d80-75b9-48ff-a8aa-147404381698,0,0,0,0,0,0,1,0,0,0,0,False
8d984d4c-26f3-4b3b-ad19-740afc95061a,"Merrill, William L.","The return of the Ahayu:da: lessons for repatriation from Zuni
         Pueblo and the Smithsonian Institution",1993,534,Journal Article,Zuni,North America,Southwest and Basin,intensive agriculturalists,,"648,778",https://ehrafworldcultures.yale.edu/sres/8d984d4c-26f3-4b3b-ad19-740afc95061a,0,0,0,0,0,0,0,0,1,0,0,False
eaddf888-9d8b-42f9-94c7-c24c402d28d2,"Laski, Vera",Seeking life,1958,135,Monograph,Tewa Pueblos,North America,Southwest and Basin,intensive agriculturalists,,"324,778",https://ehrafworldcultures.yale.edu/sres/eaddf888-9d8b-42f9-94c7-c24c402d28d2,0,0,0,0,0,0,0,0,1,0,0,False
07e35de3-5532-48e1-b627-28760b2bc14f,"Schwimmer, Eric G., 1923-","Reciprocity and structure: a semiotic analysis of some
         Orokaiva exchange data",1979,284,Journal Article,Orokaiva,Oceania,Melanesia,other subsistence combinations,,"113,437,773",https://ehrafworldcultures.yale.edu/sres/07e35de3-5532-48e1-b627-28760b2bc14f,0,0,0,1,0,0,0,0,0,0,0,False
ea434f7a-66c8-43f3-b2f4-fdb7276e05d5,"Smith, Elmer Lewis",A study of acculturation in an Amish community,1956,200,Monograph,Amish,North America,"Regional, Ethnic and Diaspora Cultures",intensive agriculturalists,,"177,771,795,829",https://ehrafworldcultures.yale.edu/sres/ea434f7a-66c8-43f3-b2f4-fdb7276e05d5,0,1,0,0,0,0,0,0,0,0,0,False
458ba1b4-18c9-4a99-a25c-d032bfb284c3,"Courlander, Harold, 1908-1996","The drum and the hoe: life and lore of the Haitian
         people",1960,325,"Component part(s), monograph",Haitians,Middle America and the Caribbean,Caribbean,commercial economy,,"776,787",https://ehrafworldcultures.yale.edu/sres/458ba1b4-18c9-4a99-a25c-d032bfb284c3,0,0,0,0,0,0,1,0,0,0,1,False
7614d031-a674-4adc-938f-f3e55514bae9,"Garrison, Vivian, 1933-","Doctor, espiritista or psychiatrist?: health-seeking behavior
         in a Puerto Rican neighborhood of New York City",1977,142,Journal Article,Puerto Ricans (Mainland),North America,"Regional, Ethnic and Diaspora Cultures",commercial economy,,"755,757,758,776",https://ehrafworldcultures.yale.edu/sres/7614d031-a674-4adc-938f-f3e55514bae9,0,0,0,0,0,0,1,0,0,0,0,False
4f038382-db86-46a8-bacc-83929c88c31e,"Hallowell, A. Irving (Alfred Irving),
         1892-1974",The role of conjuring in Saulteaux society,1942,47,"Component part(s), monograph",Ojibwa,North America,Arctic and Subarctic,hunter-gatherers,,"776,787",https://ehrafworldcultures.yale.edu/sres/4f038382-db86-46a8-bacc-83929c88c31e,0,0,0,0,0,0,1,0,0,0,1,False
bac5a4da-cbe7-4514-9548-422defbf9609,"Dole, Gertrude Evelyn, 1915-2001",Endocannibalism among the Amahuaca Indians,1962,569,Journal Article,Amahuaca,South America,Amazon and Orinoco,other subsistence combinations,,"152,266,764,775",https://ehrafworldcultures.yale.edu/sres/bac5a4da-cbe7-4514-9548-422defbf9609,0,0,0,0,0,1,0,0,0,0,0,False
c8342610-c7cd-4643-bbc1-c96287b91b7d,"Selden, Sherman Ward, 1921-","The legend, myth and Code of Deganawidah and their
         significance to Iroquois cultural history",1966,220,Monograph,Iroquois,North America,Eastern Woodlands,horticulturalists,,"124,773",https://ehrafworldcultures.yale.edu/sres/c8342610-c7cd-4643-bbc1-c96287b91b7d,0,0,0,1,0,0,0,0,0,0,0,False
0d6c3aeb-853c-45d8-b66e-e7aa713f752c,"LeVine, Sarah (Sarah E.)",The dreams of young Gusii women: a content analysis,1982,74,Journal Article,Gusii,Africa,Eastern Africa,horticulturalists,,"159,787",https://ehrafworldcultures.yale.edu/sres/0d6c3aeb-853c-45d8-b66e-e7aa713f752c,0,0,0,0,0,0,0,0,0,0,1,False
ddd208b8-d0f7-4b09-b6bc-e33ba797bfa2,"Ganay, Solange de",Dogon mottoes,1941,84,Monograph,Dogon,Africa,Western Africa,intensive agriculturalists,,"537,539,764,775",https://ehrafworldcultures.yale.edu/sres/ddd208b8-d0f7-4b09-b6bc-e33ba797bfa2,0,0,0,0,0,1,0,0,0,0,0,False
a66808eb-2d65-4243-9709-55c74ef7d63e,"Wyman, Leland Clifton, 1897-",Blessingway,1970,49,"Component part(s), monograph",Navajo,North America,Southwest and Basin,agro-pastoralists,,"515,773,796",https://ehrafworldcultures.yale.edu/sres/a66808eb-2d65-4243-9709-55c74ef7d63e,0,0,0,1,0,0,0,0,0,0,0,False
5bb942be-2bca-484f-89ae-cd51cd588d76,"Gutmann, Bruno",Chagga law,1926,313,Monograph,Chagga,Africa,Eastern Africa,intensive agriculturalists,,"561,769,782,852",https://ehrafworldcultures.yale.edu/sres/5bb942be-2bca-484f-89ae-cd51cd588d76,1,0,0,0,0,0,0,0,0,0,0,False
